datetime,sentence,prediction,label
2019-11-18 12:46:55,"\@dannygokey at least their consistant  that sux man""",1.0,0
2019-11-18 12:48:55,@dannygokey at least you arrived safely!!!  Hope NY was a blast....loved seeing you on t.v.!!  I bet you'll sleep tight in your own bed,0.0,1
2019-11-18 12:49:55,@dannygokey awesome! will miss it though  have a blast &amp; keep tweeting!,1.0,1
2019-11-18 12:50:55,"\@dannygokey Awww""",1.0,1
2019-11-18 12:51:55,@dannygokey can't see the photo on my end. Sad I can't see the new spectacles!  You are crazy obsessed ;P,0.0,0
2019-11-18 12:52:55,@dannygokey danny you make wisconsin so proud. Jane and Kidd from 99.1 wmyx LOVE you! And so do I! Love from Muskego Wisconsin,1.0,1
2019-11-18 12:53:55,@Dannygokey didn't get to see your preformance  hope u had a blast,0.0,1
2019-11-18 12:54:55,"\@dannygokey get the twitterena app""",1.0,1
2019-11-18 12:55:55,@dannygokey glad you have clean undies...don't wanna be stankin' it up!,0.0,0
2019-11-18 12:56:55,@dannygokey God bless ur projets Danny. Hope to know more about it  Night night xoxo,0.0,1
2019-11-18 12:57:55,@dannygokey Good luck with that!,1.0,1
2019-11-18 12:58:55,@dannygokey Good morning Danny! You were great in your Idolatry interview. I guess u have fans in that airline.  lol.,1.0,1
2019-11-18 12:59:55,"\@dannygokey haha Night Danny  Sleep well""",0.0,1
2019-11-18 13:00:55,@dannygokey Have a great day ahead Danny! Hope the tour turns out to be an awesome one! Come visit the Philippines some time please,1.0,1
2019-11-18 13:01:55,@dannygokey have good time there Danny  and please give Anoop some tips so he can be as interesting as you in tweeting. You rock Danny!,1.0,1
2019-11-18 13:02:55,"\@dannygokey Hey Dad! You're having a good time I see..  Well""",1.0,0
2019-11-18 13:03:55,@dannygokey Hey Danny!!!!!  I love you... I'm kinda missin your tweets..,1.0,1
2019-11-18 13:04:55,"\@dannygokey hey! twitter messed up the folow request.. I unblocked so it wont mess up this time. haha so""",1.0,1
2019-11-18 13:05:55,@dannygokey Hi Danny!  Listened to you&amp;choir on YouTube singing &quot;Draw Nigh&quot;.  Beautiful!  Hope you'll make an album of Christian songs!,1.0,1
2019-11-18 13:06:55,"\@dannywood How do you get up so early""",0.0,1
2019-11-18 13:07:55,@dannywood I am looking forward the summer tour!  Gotta go to Concord cause you aren't coming to Sactown again  but i will be where U are,0.0,1
2019-11-18 13:08:55,"\@dannywood I guessed right""",1.0,1
2019-11-18 13:09:55,@dannywood I love and appreciate you!!! Happy Sunday,1.0,1
2019-11-18 13:10:55,@dannywood I LOVE that you run a charity for cancer research. I run a charity for cancer patients: Henry's Angels. Lost my guy to cancer.,1.0,1
2019-11-18 13:11:55,@dannywood I love you Danny !!! see you sooooooooooooooooooooooon OMG !! hehehe thanks to the life,1.0,1
2019-11-18 13:12:55,@dannywood I love you guys but really I hate hearing FULL SERVICE all the Im bummed that I  CANT partake in the shows this summer  ..sorry,0.0,0
2019-11-18 13:13:55,@dannywood I wish I could be there  . LUV YA!!!,0.0,1
2019-11-18 13:14:55,@dannywood Iam sure she is baking one around you....you'll smell it....she is always around  xx,1.0,1
2019-11-18 13:15:55,"\@dannywood if only u didn't cancel the Aussie Tour""",0.0,0
2019-11-18 13:16:55,"\@dannywood if only u didn't cancel the Aussie Tour""",0.0,0
2019-11-18 13:17:55,@dannywood I'm glad y'all are having a good time... I know we are,0.0,1
2019-11-18 13:18:55,@dannywood I'm having the time of my life 2!! Well ok I did at my 1 show - I need to go to more!!! Come back to NC!!,0.0,1
2019-11-18 13:19:55,@dannywood I'm really hoping you've checked this out....Will post a new one sometime soon!   http://bit.ly/19b17i.,1.0,1
2019-11-18 13:20:55,@dannywood is what I'm reading correct?? NKOTB have cancelled to OZ tour?? please tell me it's not true,1.0,0
2019-11-18 13:21:55,@dannywood it really has been an amazing tour!  Love ya too!,1.0,1
2019-11-18 13:22:55,@dannywood It's hardly a full service if you're not visiting the southern hemisphere (ie. Australia)! Half service actually!,1.0,0
2019-11-18 13:23:55,@dannywood Just the girls outside?? Man Mr. Wood you are breaking my heart,1.0,1
2019-11-18 13:24:55,@dannywood just went kayaking in Santa barbara harbor... 85 and sunny! I love my life too!,1.0,1
2019-11-18 13:25:55,@dannywood left you a msg on myspace! now check out how many books that i bought but take care and have an awesome day janelle,1.0,1
2019-11-18 13:26:55,@dannywood long run in St. Louis tomorrow for me.  24 days to make me your running partner.  I know lots of cool places to run.,0.0,1
2019-11-18 14:07:55,@blackmamba23 *clutches pearls* lol but that sucks,1.0,0
2019-11-18 14:08:55,@blackmantra28 pull yourself together .. try not to think about it ..,0.0,1
2019-11-18 14:09:55,@BLACKMARS Yes it's true.  But Orlando Bloom is not badly either. lol,1.0,1
2019-11-18 14:10:55,@blackmetalkitty hope the hunting of houses is going well. We keep missing each other  I should be on yahoo later,0.0,1
2019-11-18 14:11:55,@blackmetalkitty I love it.  I've watched it a million times and read the book almost as many.  Lol...well maybe not a MILLION...,0.0,1
2019-11-18 14:12:55,@blackmetalkitty omg! Sorry to hear that!,0.0,1
2019-11-18 14:13:55,"\@dannygokey Hi Danny""",1.0,1
2019-11-18 14:14:55,@dannygokey hi from malaysia from the other side of your world,1.0,1
